blosum30	blosum60
0.99443436	0.86068714
0.9833436	0.9110837
0.64232033	0.73703057
0.7285824	0.19910565
0.7544732	0.39266944
0.97120965	0.99786866
0.80352056	0.83263135
0.887938	0.9649197
0.9827107	0.9855287
0.22556612	0.23486692
0.9999993	0.9955489
0.9153921	0.9820586
0.18276775	0.00087574124
0.99477583	0.95048296
0.8999263	0.97834086
0.99329376	0.73131317
0.00045222044	0.00013998151
0.97690606	0.9853791
0.5039655	8.099145e-06
0.9487311	0.9584932
0.44958076	0.7315606
0.7688718	0.016681165
0.00076299906	0.014825702
0.9532482	0.9077536
0.9495919	0.95525306
0.0039096475	0.9924533
0.34679556	0.8421656
0.99108243	0.5446745
0.8042566	0.8482846
0.49405372	0.76239586
0.74742985	0.97580206
0.00010627061	0.015381902
0.9968616	0.8766257
0.23776251	0.0032023787
0.09191018	0.52044237
0.99609256	0.0049729347
0.9460362	0.98975
0.030812413	0.14430463
0.00022774935	0.055354655
0.46629623	0.56161994
0.8594825	0.0043581724
0.8698981	0.5475864
0.8360552	0.9250963
0.5678981	0.79428506
0.16962153	0.111082345
0.7555174	0.9739306
0.7217176	0.53448963
0.12268239	0.008024603
0.0005315244	0.06628081
0.0073954463	0.008104503
0.50053674	0.45143715
0.6368662	0.0830822
0.9817817	0.96095556
0.05474305	0.17605343
0.9983388	0.97642255
0.7808768	0.93824744
0.05498749	0.5723947
0.7476037	0.86839306
0.00097343326	0.15666646
0.6035582	0.95255065
0.7693943	0.9314816
0.7833752	0.9810492
0.0086526275	0.95945036
0.7332909	0.935296
0.44740197	0.017105967
0.7638917	0.7439142
0.2402173	0.034118086
0.9390315	0.9625515
0.0003786981	0.00097596645
0.05190763	0.09337282
0.9588796	0.97532487
0.96188474	0.9848859
0.67019033	0.08549115
0.9485835	0.9880748
0.86620045	0.76457536
0.9574461	0.97914064
0.2365481	0.00773564
0.92083204	0.91670567
0.98621035	0.97341496
0.55991876	0.9684974
0.76849437	0.97544146
0.26195908	0.90937495
0.002901107	0.028175503
0.2206786	0.4513744
