label	aaindex	reslike	combined
0.0	0.89628273	0.9983267	0.9473047
0.0	0.19729635	0.0010332465	0.0991648
0.0	0.020576417	0.9563283	0.48845235
0.0	0.009297758	0.000343889	0.0048208237
1.0	0.9761255	0.9906949	0.9834102
1.0	0.93921924	0.99842936	0.96882427
0.0	0.0074979663	0.08548701	0.046492487
1.0	0.99991417	0.9914713	0.99569273
0.0	0.003983408	0.0013201535	0.0026517808
0.0	0.0026505888	0.023989111	0.01331985
0.0	0.9735124	0.9403938	0.9569531
0.0	2.3754899e-06	0.17495564	0.087479
0.0	0.6357737	0.9867179	0.8112458
1.0	0.98688763	0.9864717	0.9866797
0.0	0.94869816	0.9664892	0.9575937
0.0	0.69364077	0.9829712	0.83830595
0.0	0.9809656	0.99690354	0.9889346
0.0	0.8910637	0.9220708	0.9065672
0.0	0.36763293	0.491555	0.42959398
0.0	0.95578957	0.021569133	0.48867935
0.0	0.0041291118	0.013165027	0.008647069
0.0	0.013172001	0.20028132	0.10672666
0.0	0.0636462	0.2132582	0.1384522
1.0	0.9999274	0.9996079	0.99976766
0.0	0.99666566	0.97376984	0.98521775
1.0	0.9999604	0.9946685	0.99731445
0.0	0.27231944	0.26568243	0.26900095
1.0	0.7885547	0.88759005	0.8380724
0.0	0.30177838	0.85913634	0.5804573
0.0	0.00062951446	0.97080886	0.4857192
1.0	0.20247486	0.9524374	0.5774561
0.0	0.9994422	0.9940424	0.9967423
0.0	0.9997728	0.9931577	0.9964652
0.0	0.30270052	0.9296495	0.616175
0.0	0.018957287	0.9146502	0.46680373
0.0	0.00038266182	0.8594763	0.4299295
0.0	0.8430437	0.9139978	0.8785207
0.0	0.30083257	0.99477136	0.647802
0.0	7.9735684e-05	0.10191885	0.05099929
0.0	0.72369075	0.52648985	0.6250903
0.0	0.95287204	0.9976113	0.97524166
0.0	0.5826822	0.85933316	0.7210077
0.0	0.9860005	0.9416153	0.9638079
0.0	0.5811672	0.98033774	0.7807525
0.0	0.001868546	0.89829457	0.45008156
0.0	0.019531041	0.43809307	0.22881205
0.0	0.64743215	0.1647963	0.40611422
0.0	0.840631	0.9030493	0.8718401
0.0	0.8580259	0.95812124	0.90807354
0.0	0.99571383	0.9948105	0.99526215
0.0	0.9958136	0.95959735	0.9777055
0.0	0.97583425	0.95175064	0.96379244
0.0	0.9530339	0.96569264	0.9593633
0.0	0.9944709	0.971514	0.9829924
0.0	0.0025066435	4.7959293e-05	0.0012773015
0.0	0.00277856	0.42560798	0.21419327
0.0	0.94959414	0.9996465	0.97462034
