FineTune_last_one	FineTune_last_two	FineTune_last_three
0.9365696	0.9064257	0.9564523
0.836874	0.5485401	0.82508266
0.92732906	0.9424484	0.887611
0.8459901	0.92755014	0.9176738
0.13441601	0.75583184	0.39837715
0.75554234	0.7529053	0.5390909
0.95231265	0.9037565	0.9738977
0.8607385	0.8610498	0.8469809
0.7413554	0.87075675	0.7844559
0.6331482	0.8713249	0.8448974
0.28926814	0.5750407	0.63839465
0.9153886	0.66408014	0.9710532
0.9492847	0.9809346	0.8905536
0.1601268	0.31225753	0.4570894
0.8405348	0.9258493	0.8989891
0.9821559	0.99256325	0.9904777
0.8439238	0.9750146	0.93867433
0.080578804	0.27701515	0.0632965
0.97836804	0.9949902	0.9714767
0.017562956	0.07834935	0.008182973
0.98233247	0.998272	0.9858885
0.98389673	0.95631385	0.99314475
0.71956646	0.6872177	0.5844616
0.2655999	0.5532673	0.21736303
0.95707893	0.97658277	0.9710119
0.9916377	0.9990014	0.9779755
0.99228954	0.9010812	0.9954189
0.497443	0.22621581	0.5104577
0.49559456	0.7457105	0.7055292
0.9794128	0.9411714	0.9899864
0.5985068	0.464245	0.3295296
0.25700164	0.95649254	0.5573421
0.70498246	0.65982497	0.8587933
0.9583439	0.9992945	0.9618801
0.22191763	0.6375335	0.3053221
0.53712094	0.5104577	0.29322267
0.36922997	0.80797607	0.34687018
0.9784827	0.9554265	0.9784378
0.08437225	0.11900118	0.00805071
0.21785992	0.47546142	0.3441913
0.26211625	0.5379655	0.4592237
0.47295734	0.5510185	0.41272852
0.6807555	0.60845023	0.35614592
0.9529017	0.8915373	0.92802596
0.9714425	0.6300783	0.9218786
0.72118104	0.2840712	0.7868389
0.8962477	0.97030884	0.9696522
0.8120326	0.6587088	0.94376767
0.46459347	0.5979317	0.32297087
0.77867115	0.23876837	0.39414006
0.14257178	0.2519225	0.03650844
0.10694131	0.12269223	0.056994975
0.076663315	0.3722922	0.20768031
0.9970359	0.9399023	0.9856336
0.6620491	0.19003814	0.35968858
0.754352	0.9925948	0.8655088
0.7554566	0.893349	0.71562636
0.37513137	0.31301883	0.285646
0.9640955	0.9098633	0.9777805
0.11862871	0.22932163	0.076777846
0.98846376	0.962587	0.9719738
0.56557333	0.9632143	0.5306006
0.6660851	0.6508585	0.9246713
0.92589843	0.9050269	0.9346873
0.8999102	0.76642644	0.9071244
0.9131044	0.9615149	0.64621216
0.4445455	0.63945526	0.6001516
0.029659301	0.12495777	0.011091679
0.6664792	0.7475238	0.8127892
0.010268688	0.04617876	0.015126169
0.54666865	0.8937396	0.5941762
0.99507457	0.978857	0.98134696
0.99672127	0.9444348	0.98691297
0.8297936	0.8842213	0.81661093
0.9985316	0.8874688	0.9809129
0.90413636	0.93434596	0.89454603
0.9889163	0.988045	0.9917934
0.25823367	0.19342175	0.07422534
0.9120234	0.89203346	0.9556068
0.9798182	0.9833965	0.94823277
0.37725088	0.38082176	0.14436951
0.7187613	0.9355644	0.7637087
0.99293166	0.9750501	0.98829114
0.28413096	0.18932468	0.32898486
0.8891453	0.87541896	0.9111823
0.5118103	0.48126924	0.7300075
0.36725193	0.9271667	0.66961867
0.9482576	0.9043757	0.9643674
